experiment,train_loss,val_loss,train_acc,val_acc,precision,recall,miou
C1_Base,0.17944198060035704,1.2863333053588868,0.940325,0.699,,,
C2_Augmented,0.20501887986660003,1.209273135662079,0.9329,0.7003,,,
C3_TransferLearning,0.5285284964561462,0.5371536609649659,0.81535,0.8109,,,
C4_FineTuning,0.00037944255718030034,0.18188867228627204,1.0,0.9493,,,
Detection_V1_0.3,,,,,0.31521739130434784,0.8529411764705882,0.8115124702453613
Detection_V2_0.7,,,,,0.5918367346938775,0.8529411764705882,0.8259061574935913
